hashtag,nonrumour,rumour
TestTraceIsolate,2,0
CORONAVIRUS,1,0
pillsbypost,0,1
MissionDharavi,1,0
Vijayabaskar,1,0
FloridaMorons,0,1
Eval4Action,1,0
SaintsFC,1,0
journalism,1,0
GetMePPE,1,0
howimfeelingnow,1,0
"CharlesLieber,",1,0
scicomm,1,0
dubai,1,0
MexicoSaludable,1,0
Vancouver,1,0
ProtectNurses.,1,0
s,2,0
postsecondary,0,1
ModiBetrayedIndia,1,0
SafeHands,3,1
SARSCoV2.,1,0
epitwitter,3,0
iHeartConcertOnFox,1,0
PlagueOfCorruption,1,0
Chine.,1,0
ExtendTheTransition,1,0
StayAtHomeAndStaySafe,1,0
deadlynegligence,1,0
prolife,1,0
TrumpDeathToll100K,2,0
sundayvibes,0,1
toiletpaper,1,0
POTUS,1,0
GovAbbott,1,0
PeakWeek,1,0
FreeTheVaccine,1,0
Mexico,1,0
LockDownNigeria,1,0
PPESupplies,0,1
JusticeForGeorgeFloyd,1,0
KeepingYouAlive,1,0
EndTheLockdown,0,1
media,2,0
WeShallOvercome,1,0
AskMyMayor,1,0
cancer,1,0
melbournelockdown,0,1
AMJoy,1,0
Senate,1,0
MondayMorning,1,0
LA,1,0
mulive,1,1
IRS,1,0
COVOD19.,0,1
Coronavirus-,1,0
Hindutva,0,1
RIP,1,0
access,1,0
stopkillingwomenandchildren,1,0
BeatTheVirus,2,0
DarwinAwards,0,1
101waystoplay,1,0
ReturnStronger,1,0
EhsaasEmergencyCash,1,0
NeveraHoax,0,1
JaPenSabah,1,0
VaccinesWork!,1,0
Unitebehindscience,1,0
Pennsylvania,1,2
CoronaWarriors,2,0
RussianBounty,0,1
AmericaOrTrump,1,0
CCP,3,0
FrontlineSoldiers,1,0
Salem,1,0
ReporteCOVID19,0,1
Brazil,3,0
Nutrition,1,0
COVID19-associated,1,0
Tablighiphobia,1,0
FoxNews,6,5
virtualparliament,1,0
Gujarat.,1,0
ICMR,1,0
도경수,1,0
DO,1,0
kitajagakita,1,0
PMCaresFund.,0,1
BREAKING,28,5
UK,4,0
VoteByMail,1,0
Lagos,2,0
fintechs,1,0
USNSComfort,1,0
SmartNews,0,1
DidYouKnow,1,0
SouthKorea,0,1
SuperCashAppFriday.,1,0
CoronaVirusInSA,1,0
Covid19Mexico,1,0
VoteRed,1,0
njpw,1,0
JoeBiden.,1,0
childcare,1,0
doffing.,1,0
TrumpsEvilPlan,1,0
Anonymous,1,0
tisu,1,0
ShareHOPE,1,0
GOPTaxScam.,1,0
COVID19Canada,1,0
unemployment,1,0
mondaythoughts,3,2
phdchat,3,1
LockdownSA,4,0
TrumpRallyTulsa,1,0
ICantBreathe,2,1
HETVSkillsFund,1,0
minneapolisriots,1,0
TaiwanCanHelp,1,0
forzaitalia,1,0
Pandemic,2,0
gbasgbos,1,0
CBCNN,1,0
Employers:,1,0
TomorrowsPapersToday,1,0
Newstrack,1,0
covid19africa,1,0
Covid19':,1,0
NoAlleyForMe,1,0
njbosj,1,0
coronavirusireland,1,0
IndiaFightsCorona:,2,0
051,1,0
CoronavirusinSA,2,0
AccesstoMedicine,1,0
GujaratModelExposed,0,1
"TamiTreadwell,",1,0
OWNSpotlight,1,0
covid19toronto,1,0
women,2,0
bbcnewssix,1,0
PPP,3,0
Level5Lockdown,0,1
IamYLP,1,0
EarlyYearsMatter,1,0
COVIDreliefIRS,1,0
FreeJacob,1,0
houstontx,0,1
11mai,1,0
DrNusratShah,1,0
25theAmendmentNow,0,1
DJSBU,1,0
AndhraPradesh,2,0
quiz,2,0
Brexit”.,1,0
digital,1,0
handwashingsongs,1,0
nhsggc,1,0
BlackWidow,0,1
OdishaFightsCoronaVirus,1,0
8,1,0
"Nice,",1,0
EuropeanTravelBan,1,0
portland,1,0
FlatteningtheCurve,3,0
parliament,1,0
DudukRumah,0,1
ARod.,1,0
txpolitics,1,0
Kanolockdown,1,0
Covid19UG,1,1
RescueRiders,0,1
ShoreviewStrong,1,0
Bulgaria,1,0
donate_plasma_save_lives,1,0
mmlockdown,0,1
1),1,0
WTF,1,0
frontliners,1,0
NCOC,0,1
SidharthShukla,1,0
quarantineandchill,0,1
KeepingThemHonest,1,1
SMEs,1,0
WeWantJoe,0,1
TeamTaylorMade,1,0
Discrimination,1,0
AskCaptain.,1,0
UtahStrong,1,0
IndiaFIghtsCorona,1,0
dirumahaja,1,0
day48oflockdown,1,0
India.,1,1
COVID19sverige,1,0
SchoolClosures,1,0
ChineseVirus,3,0
InThisTogether,5,1
nCoV2020.,1,0
bbcfootball,1,0
Uganda-n,1,0
WeGotThisWA,1,0
olderAdults,1,0
CovidIsOver,1,0
TheProjectTV,1,0
nCoV2019,1,0
sabcnews,3,1
medtwitter,2,0
MadagascanCure,1,0
lockdowns,1,0
TUTMUSTFALL,0,1
Ravish_Kumar,1,0
NOT,1,0
Switzerland,1,0
Unbelievable,1,0
hospices,0,1
70days,0,1
CoronavirusNewscast,1,0
Indore,1,0
Kenya,1,0
"Trump,",1,0
Pakistan,1,0
Coronavirus:,5,0
Titans,1,0
COVIDTech,1,0
SaudiArabia:,1,0
covid19on,1,0
RedRobin,0,1
ContactTracing,1,0
FIRForSushantUnder302,1,0
mattgroening,1,0
lockdown.🤬,1,0
NRLManlyStorm,1,0
COVID19—deserve,1,0
Tibet,1,0
grief,1,0
Folklore,1,0
TMobileTuesdays,1,0
startsmall,1,0
Covid_19SA,1,0
Turks,1,0
COVID:,1,0
SwansForRelief.,1,0
CORONIL,1,0
Massachusetts,1,0
moleg,1,1
medical,1,0
MLB,3,0
RubyPrincess?,0,1
afcb,0,1
AmyKlobuchar,1,0
"covid19,",1,0
ProjectAirbridge,1,0
LockdownNow,1,0
SteppingUp,1,0
NPHWChat,1,0
ForceForChange,0,1
impeachment?,0,1
IPSInnovates,1,0
janeygodleyvoiceover,1,0
Hospital,2,1
galatians67,1,0
Belgium,1,0
chopsfives,1,3
TheHighWire,1,0
Google,1,0
TrackingAndTracing,5,0
Khairpur.,1,0
COVIDActNow,0,1
coronavirusinindia,2,0
JoesNotSorry,1,0
london,1,0
السعودية,1,0
socialwelfare,1,0
President,0,1
BillyGraham,0,1
CDS2020,1,0
STAYATHOME,1,0
PromisesKept,0,1
andrewwong,1,0
CoronavirusAct,1,0
lockdownuk,0,1
Azerbaijan,1,0
CoronavirusPandemic,27,5
phdlife,1,0
"Hydroxychloroquine,",1,0
Italy.,1,0
releasethedata,1,0
MorningStarr,1,0
America?,1,0
WearADamnMask,2,1
tiktok,1,0
"COVD19,",1,0
LEGO,1,0
दिल्ली_जन_संवाद,1,0
cantmakethisup,1,0
reidoftheday,1,0
giveitarest,1,0
PleaseStayatHome,1,0
MaharashtraFightsCorona,1,0
Indian,1,0
KanakNews,1,0
CrushTheCurve,5,0
TERS,1,0
covid19,101,13
PressBriefing,2,1
FailedLockdown,1,0
winnipeg,0,1
coronavirusoutbreak,1,0
TrumpIsAPublicHealthMenace,0,1
BlackLivesMatter,10,5
TrumpPressConference,4,3
OdishaCares,1,0
OxidativeStress,1,0
LongCovid,1,0
GoC,1,0
DivasDailyDeepSeaFact,1,0
Odisha’s,1,0
SkinCare,1,0
CdnTax,2,0
URGENTE,1,0
NthRoomCase,1,0
CarbonOffsetting,1,0
Hydroxychloroquine.,1,1
"Lagos,",1,0
wellbeing.,1,0
COVID19:,31,2
ToriesOut,2,1
StayHomeLiveLounge,0,1
CNNSOTU,5,3
BenedictDonald,0,1
dog,1,0
JWST,1,0
ResponsibleRestartOhio,1,0
DrivingRelief,1,0
Pantajali's,1,0
"Houston,",1,0
Coronvirus,1,0
FRAZZLEDRIP,1,0
JournalismIsDead,1,0
schoolsreopening,1,0
CognitiveTest,1,0
COVIDBC,1,0
StayHome!,1,0
TrumpDeathToll85K,0,1
physicaldistancing,1,0
KitaJagaKita,1,1
CovidVic,1,0
VizagGasLeak,1,0
velshi,1,0
SLCo,2,0
StopAiringTrump,2,2
ClimateCrisis,1,0
UrbietOrbi,1,0
GeneralStrike,0,1
CPS,1,0
pescatarian,1,0
SocialDistancing,16,2
TrishRegan,0,1
ausbiz,1,0
STAYINTHEHOOSE,1,0
DuduzaneZuma,1,0
TrumpDepression,2,0
SouthAfrica,1,0
PutSouthAfricansFirst,1,0
india,1,0
ActionAidTalksUG,1,0
